ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tcp,udp
1547151469.934885,1270,12,2,999,5,3,1,76,1,76,False,True
1547151510.935019,41,12,2,886,5,3,1,76,1,76,False,True
1547151581.962241,1586,11,481,484,1,3,46,3264,25,2916,True,False
1547151556.935268,839,12,2,718,5,3,1,76,1,76,False,True
1547151580.935329,188,12,2,913,5,3,1,76,1,76,False,True
1547151583.935368,1070,12,2,914,5,3,1,76,1,76,False,True
1547151601,66,12,2,999,5,3,1,76,1,76,False,True
1547151642.935221,1263,12,2,886,5,3,1,76,1,76,False,True
1547151689,84,12,2,718,5,3,1,76,1,76,False,True
1547151701,800,12,2,686,5,1,1,76,0,0,False,True
1547151713.934977,441,12,2,913,5,3,1,76,1,76,False,True
1547151717.934939,29,12,2,914,5,1,1,76,0,0,False,True
1547151731.934954,1573,12,2,999,5,3,1,76,1,76,False,True
1547151773.935002,313,12,2,886,5,3,1,76,1,76,False,True
1547151818.934849,522,12,2,718,5,3,1,76,1,76,False,True
1547151833.935034,723,12,2,686,5,1,1,76,0,0,False,True
1547151846.934873,36,12,2,913,5,3,1,76,1,76,False,True
1547151850.934847,909,12,2,914,5,1,1,76,0,0,False,True
1547151864.934857,422,12,2,999,5,3,1,76,1,76,False,True
1547151908.935013,152,12,2,886,5,3,1,76,1,76,False,True
1547151948.934954,1138,12,2,718,5,3,1,76,1,76,False,True
1547151962.934974,1568,12,2,686,5,1,1,76,0,0,False,True
1547151977.934923,509,12,2,913,5,3,1,76,1,76,False,True
1547151982.935074,228,12,2,914,5,3,1,76,1,76,False,True
1547151995.934905,689,12,2,999,5,3,1,76,1,76,False,True
1547152042.935093,320,12,2,886,5,3,1,76,1,76,False,True
1547152077.935132,1589,12,2,718,5,3,1,76,1,76,False,True
1547152094,965,12,2,686,5,1,1,76,0,0,False,True
1547152107,1147,12,2,913,5,3,1,76,1,76,False,True
1547152117.935082,514,12,2,914,5,1,1,76,0,0,False,True
1547152124.935094,1581,12,2,999,5,3,1,76,1,76,False,True
1547152175.934744,346,12,2,886,5,3,1,76,1,76,False,True
1547152205.934635,1152,12,2,718,5,3,1,76,1,76,False,True
1547152225,432,12,2,686,5,1,1,76,0,0,False,True
1547152237.934639,98,12,2,913,5,3,1,76,1,76,False,True
1547152247.934435,634,12,2,914,5,1,1,76,0,0,False,True
1547152259.934348,597,12,2,999,5,3,1,76,1,76,False,True
1547152303.934252,1560,12,2,886,5,3,1,76,1,76,False,True
1547152338.934295,261,12,2,718,5,3,1,76,1,76,False,True
1547152358.934156,1326,12,2,686,5,1,1,76,0,0,False,True
1547152370.934055,248,12,2,913,5,3,1,76,1,76,False,True
1547152382,801,12,2,914,5,3,1,76,1,76,False,True
1547152391.934074,1365,12,2,999,5,3,1,76,1,76,False,True
1547152432.933953,683,12,2,886,5,3,1,76,1,76,False,True
1547152470,1457,12,2,718,5,3,1,76,1,76,False,True
1547152490.933873,1465,12,2,686,5,3,1,76,1,76,False,True
1547152504.933887,742,12,2,913,5,3,1,76,1,76,False,True
1547152513.933763,791,12,2,914,5,1,1,76,0,0,False,True
1547152520.933773,1609,12,2,999,5,3,1,76,1,76,False,True
1532511003.118878,1021,13,821,486,1,0,5,332,2,200,True,False
1532510451.648888,1279,14,501,733,5,3,1,76,1,76,False,True
1532511003.118878,1021,13,821,486,1,0,5,332,2,200,True,False
1532511739.837566,670,13,849,486,1,1,3,189,0,0,True,False
1532512077.774888,423,13,851,486,1,1,3,189,0,0,True,False
1532512335.605565,236,14,444,485,3,1,1,58,0,0,False,True
1532512341,644,14,643,485,3,1,1,58,0,0,False,True
1532512345.616108,264,14,672,485,3,3,1,58,1,122,False,True
1532512345.998887,1076,14,877,485,3,1,1,65,0,0,False,True
1532512351.004042,1472,14,704,485,3,3,1,65,1,81,False,True
1532512351.006781,1566,14,723,485,3,1,1,67,0,0,False,True
1532512356.012192,143,14,787,485,3,3,1,67,1,83,False,True
1532512345.644081,708,14,591,686,5,3,1,76,1,76,False,True
1532512396.023158,421,14,566,485,3,3,1,65,1,81,False,True
1532512396.024138,1113,14,800,485,3,3,1,67,1,83,False,True
1532508827.741325,352,13,820,486,1,2,3,189,2,112,True,False
1532512351.006776,416,14,358,918,23,1,2,190,0,0,False,True
1532512356.014925,1328,14,358,840,23,1,2,190,0,0,False,True
1532512499.900481,439,14,695,733,5,1,2,152,0,0,False,True
1532512606.650755,1541,14,551,485,3,1,2,134,0,0,False,True
1532512616.660965,334,14,587,485,3,1,2,146,0,0,False,True
1532512626.672154,1012,14,749,485,3,3,1,67,1,131,False,True
1532512626.705878,878,14,415,485,3,1,1,67,0,0,False,True
1532512596.400184,1244,14,695,733,5,1,1,76,0,0,False,True
1532512632,728,14,788,686,5,1,1,76,0,0,False,True
1532512641.900335,1297,14,725,753,5,1,1,76,0,0,False,True
1532512652.150156,344,14,768,888,5,1,1,76,0,0,False,True
1532512662.400731,1049,14,845,909,5,1,1,76,0,0,False,True
1532512287.373284,571,13,821,486,1,0,6,384,4,400,True,False
1532512996.028877,97,14,452,485,3,1,1,65,0,0,False,True
1532513001.034002,460,14,571,485,3,3,1,65,1,81,False,True
1532513001.036736,1593,14,662,485,3,3,1,67,1,83,False,True
1532513001.036486,938,14,358,918,23,1,1,95,0,0,False,True
1532513001.037986,1206,14,358,840,23,1,1,95,0,0,False,True
1532513597.028473,259,14,456,485,3,3,1,65,1,81,False,True
1532513597.031461,511,14,756,485,3,1,1,67,0,0,False,True
1532513602,668,14,759,485,3,3,1,67,1,83,False,True
1532513597.031211,395,14,358,918,23,1,1,95,0,0,False,True
1532513602.039095,1192,14,358,840,23,1,1,95,0,0,False,True
1532514198,401,14,542,485,3,1,1,65,0,0,False,True
1532514203.035368,434,14,575,485,3,1,1,65,0,0,False,True
1532514208,1129,14,758,485,3,3,1,65,1,81,False,True
1532514208.043492,606,14,543,485,3,3,1,67,1,83,False,True
1532514208.043244,95,14,358,918,23,1,1,95,0,0,False,True
1532514208.046241,1614,14,358,840,23,1,1,95,0,0,False,True
1532514720.894534,224,14,486,485,3,1,2,134,0,0,False,True
1532514730.900123,993,14,827,485,3,1,2,146,0,0,False,True
1532514740.911183,1451,14,830,485,3,1,2,134,0,0,False,True
1532514750.921756,5,14,806,485,3,1,2,146,0,0,False,True
1532514765.972214,874,14,818,485,3,1,1,67,0,0,False,True
1532514760.932834,906,14,529,485,3,3,2,134,1,131,False,True
1532514798.025294,25,14,498,485,3,3,1,65,1,81,False,True
1532514798.028028,1393,14,681,485,3,1,1,67,0,0,False,True
1532514803.033453,116,14,521,485,3,3,1,67,1,83,False,True
1532514770.943147,1033,14,619,589,5,3,1,76,1,76,False,True
1532514798.028024,977,14,358,918,23,1,1,95,0,0,False,True
1532514803.035682,561,14,358,840,23,1,1,95,0,0,False,True
1532515399.033392,604,14,449,485,3,1,1,65,0,0,False,True
1532515404.038539,984,14,811,485,3,3,1,65,1,81,False,True
1532515404.041279,371,14,408,485,3,1,1,67,0,0,False,True
1532515409.046429,1065,14,424,485,3,1,1,67,0,0,False,True
1532515414.051579,1362,14,657,485,3,1,1,67,0,0,False,True
1532515419.056726,355,14,603,901,3,3,1,67,1,83,False,True
1532515404.041029,96,14,358,918,23,1,1,95,0,0,False,True
1532515419.059472,1251,14,358,840,23,1,1,95,0,0,False,True
1532515999.020291,490,14,482,485,3,1,1,58,0,0,False,True
1532516004.025429,323,14,750,485,3,1,1,58,0,0,False,True
1532516009.030576,1072,14,642,485,3,3,1,58,1,122,False,True
1532516015.364715,1420,14,678,485,3,3,1,65,1,81,False,True
1532516015.367707,1345,14,876,485,3,3,1,67,1,83,False,True
1532516009.065552,855,14,420,199,5,1,1,76,0,0,False,True
1532516015.367458,436,14,358,918,23,1,1,95,0,0,False,True
1532516015.370705,601,14,358,840,23,1,1,95,0,0,False,True
1532516599.026688,551,14,421,485,3,1,1,65,0,0,False,True
1532516604.031839,690,14,558,485,3,3,1,65,1,81,False,True
1532516604.034568,1164,14,735,485,3,3,1,67,1,83,False,True
1532516604.034319,1023,14,358,918,23,1,1,95,0,0,False,True
1532516604.035318,1219,14,358,840,23,1,1,95,0,0,False,True
1532516819.144989,1063,14,754,589,5,1,2,152,0,0,False,True
1532516915.645762,485,14,754,589,5,3,1,76,1,76,False,True
1532517200.023538,1106,14,479,485,3,3,1,58,1,122,False,True
1532517200.070741,789,14,530,485,3,1,1,65,0,0,False,True
1532517205.075907,602,14,622,485,3,3,1,65,1,81,False,True
1532517205.079405,687,14,673,485,3,1,1,67,0,0,False,True
1532517210.084813,402,14,602,485,3,1,1,67,0,0,False,True
1532517215.089742,173,14,614,485,3,1,1,67,0,0,False,True
1532517220.094897,463,14,422,901,3,3,1,67,1,83,False,True
1532517200.042507,397,14,698,686,5,3,1,76,1,76,False,True
1532517205,707,14,358,918,23,1,1,95,0,0,False,True
1532517220.097634,148,14,358,840,23,1,1,95,0,0,False,True
1532517800.033622,667,14,721,485,3,3,1,65,1,81,False,True
1532517800.036363,1215,14,653,485,3,1,1,67,0,0,False,True
1532517805.041528,1494,14,661,485,3,1,1,67,0,0,False,True
1532517810.046679,1460,14,391,485,3,1,1,67,0,0,False,True
1532517815.051821,1255,14,514,901,3,1,1,67,0,0,False,True
1532517820.056993,641,14,638,901,3,3,1,67,1,83,False,True
1532517800.036113,781,14,358,918,23,1,1,95,0,0,False,True
1532517820.060221,1089,14,358,840,23,1,1,95,0,0,False,True
1532518400,937,14,564,485,3,1,1,65,0,0,False,True
1532518405.041226,1088,14,411,485,3,3,1,65,1,81,False,True
1532518405.043963,881,14,442,485,3,1,1,67,0,0,False,True
